										
Fecha (GMT)	Altura Signif. del Oleaje(m)	Periodo Medio(s)	Periodo de Pico(s)	Direcc. Media de Proced.(0=N,90=E)	Mar de viento:  Altura signif. Espectral(m)	Mar de viento: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 1:  Altura signif. Espectral(m)	Mar de fondo 1:  Periodo Medio Espectral(s)	Mar de fondo 1: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 2:  Altura signif. Espectral(m)	Mar de fondo 2:  Periodo Medio Espectral(s)	Mar de fondo 2: Direcc. Media de Proced.(0=N,90=E)
2023 09 06 22	1.41	9.8	13.32	339	0.03	71	1.29	11.72	334	0.5	6.36	0
2023 09 06 23	1.41	9.79	13.32	338	0.03	74	1.3	11.67	334	0.48	6.31	0
2023 09 07 00	1.41	9.69	13.32	338	0.06	64	1.31	11.63	334	0.28	8.23	12
2023 09 07 01	1.41	9.51	13.32	338	0.07	62	1.32	11.58	334	0.26	8.19	12
2023 09 07 02	1.42	9.48	13.32	338	0.07	60	1.34	11.52	334	0.25	8.16	12
2023 09 07 03	1.43	9.51	13.32	337	0.07	58	1.36	11.22	334	0.24	8.13	12
2023 09 07 04	1.45	9.44	13.32	337	0.07	53	1.38	11.04	335	0.23	8.09	12
2023 09 07 05	1.47	9.09	13.32	337	0.06	61	1.41	11.38	335	0.22	8.05	12
2023 09 07 06	1.49	9.15	13.32	337	0.08	65	1.43	11.42	335	0.21	8.02	12
2023 09 07 07	1.51	9.35	13.32	337	0.07	64	1.46	11.45	335	0.31	5.98	12
2023 09 07 08	1.53	9.62	13.32	336	0.05	67	1.49	11.45	334	0.29	5.9	12
2023 09 07 09	1.55	9.81	13.32	336	0.06	64	1.51	11.44	334	0.28	5.82	12
2023 09 07 10	1.57	9.96	13.32	336	0.05	53	1.53	11.44	334	0.27	5.76	12
2023 09 07 11	1.58	10.16	13.32	336	0.03	54	1.54	11.42	334	0.26	5.54	12
2023 09 07 12	1.58	10.26	13.32	335	0.04	45	1.55	11.01	334	0.25	5.64	12
2023 09 07 13	1.57	10.29	13.32	335	0.03	40	1.54	11.01	334	0.24	5.53	12
2023 09 07 14	1.56	10.28	13.32	335	0.03	35	1.54	10.95	334	0.23	5.51	12
2023 09 07 15	1.54	10.25	13.32	335	0.03	54	1.52	10.83	334	0.22	5.49	12
2023 09 07 16	1.52	10.2	13.32	335	0.03	52	1.5	10.96	334	0.21	5.47	12
